step,g_scalar,accum_norm,ema_grad_norm,loss_pos,loss_neg
218,15055.8984,100.0000,22.9460,71.9336,41.8218
219,725.9254,100.0000,22.9460,58.9284,57.4766
220,2522.2053,100.0000,22.9465,48.4680,43.4236
221,-7527.9463,100.0000,22.9449,66.1161,81.1720
222,-6121.4941,100.0000,22.9470,47.9932,60.2362
223,4170.8032,100.0000,22.9484,93.3701,85.0285
224,2600.3647,100.0000,22.9485,54.6973,49.4965
225,7851.3032,100.0000,22.9463,70.1144,54.4118
226,-6071.4150,100.0000,22.9470,80.2392,92.3821
227,-3962.0686,100.0000,22.9465,37.5346,45.4587
228,-22719.7578,100.0000,22.9473,62.0318,107.4714
229,87699.4922,100.0000,22.9460,264.7579,89.3589
230,-1678.5813,100.0000,22.9454,35.0912,38.4484
231,-3930.4333,100.0000,22.9451,46.5017,54.3626
232,5572.4258,100.0000,22.9426,96.7233,85.5785
233,14487.7012,100.0000,22.9394,114.5492,85.5738
234,15375.0156,100.0000,22.9387,203.7388,172.9888
235,1886.0054,100.0000,22.9409,47.4196,43.6476
236,10289.2305,100.0000,22.9385,100.3443,79.7658
237,11141.6592,100.0000,22.9386,74.7983,52.5149
238,2659.2673,100.0000,22.9388,38.5619,33.2434
239,8288.7461,100.0000,22.9395,50.9617,34.3842
240,-9074.3730,100.0000,22.9361,41.4797,59.6285
241,4193.2295,100.0000,22.9337,57.1251,48.7386
242,-3058.3286,100.0000,22.9363,53.8471,59.9637
243,2180.6106,100.0000,22.9359,202.6176,198.2563
244,-1674.2802,100.0000,22.9367,36.3297,39.6782
245,929.4624,100.0000,22.9391,31.4824,29.6235
246,-3443.2832,100.0000,22.9411,79.4151,86.3016
247,-2418.1003,100.0000,22.9398,36.1152,40.9514
248,-10705.9346,100.0000,22.9375,35.4654,56.8773
249,-2159.0022,100.0000,22.9404,35.6826,40.0006
250,-1719.4634,100.0000,22.9368,96.9657,100.4046
251,-1627.0562,100.0000,22.9354,33.0507,36.3048
252,6364.4180,100.0000,22.9347,93.4539,80.7250
253,20447.1777,100.0000,22.9369,94.6436,53.7492
254,5426.7749,100.0000,22.9345,73.6387,62.7852
255,-14131.6416,100.0000,22.9351,61.2389,89.5022
256,3651.9700,100.0000,22.9340,48.0273,40.7233
257,-4033.5103,100.0000,22.9362,54.4051,62.4721
258,-6864.1758,100.0000,22.9379,47.7243,61.4527
259,5100.6201,100.0000,22.9360,116.3139,106.1127
260,7892.7441,100.0000,22.9320,66.5559,50.7704
261,753.1567,100.0000,22.9346,43.3328,41.8265
262,-3793.1099,100.0000,22.9336,72.0653,79.6515
263,-9266.1553,100.0000,22.9351,32.5824,51.1147
264,-11637.3213,100.0000,22.9394,76.8377,100.1124
265,2686.3748,100.0000,22.9402,65.3815,60.0088
266,7093.6792,100.0000,22.9397,55.9368,41.7495
267,-15149.8828,100.0000,22.9413,80.7856,111.0854
268,895.1550,100.0000,22.9428,36.2766,34.4863
269,24397.4453,100.0000,22.9413,111.4938,62.6989
270,-2419.5842,100.0000,22.9427,37.7548,42.5940
271,-18211.2461,100.0000,22.9380,98.8370,135.2595
272,-5209.8521,100.0000,22.9390,39.2180,49.6377
273,-40534.2578,100.0000,22.9403,53.8839,134.9524
274,-7880.7104,100.0000,22.9416,104.2482,120.0096
275,4295.7686,100.0000,22.9396,76.1581,67.5666
276,-17246.0176,100.0000,22.9355,290.1624,324.6544
277,-2637.1079,100.0000,22.9347,98.1492,103.4235
278,-3679.5195,100.0000,22.9381,55.0329,62.3920
279,31646.0801,100.0000,22.9398,214.5669,151.2748
280,11435.1484,100.0000,22.9377,60.4291,37.5588
281,-12653.4385,100.0000,22.9396,121.8711,147.1780
282,-15582.9639,100.0000,22.9409,55.6879,86.8539
283,6356.3311,100.0000,22.9367,51.8214,39.1087
284,-18089.4316,100.0000,22.9343,134.3820,170.5608
285,-11432.8232,100.0000,22.9370,130.8178,153.6834
286,6425.5640,100.0000,22.9340,45.0602,32.2091
287,5211.4507,100.0000,22.9303,59.5134,49.0905
288,2766.5100,100.0000,22.9315,32.2792,26.7462
289,-13871.0098,100.0000,22.9343,240.6796,268.4216
290,20567.4980,100.0000,22.9403,105.3290,64.1940
291,-72503.6953,100.0000,22.9380,204.1098,349.1172
292,-6589.4185,100.0000,22.9344,50.2960,63.4748
293,-5580.1353,100.0000,22.9376,66.6803,77.8406
294,117227.2188,100.0000,22.9373,466.3753,231.9208
295,-7833.2080,100.0000,22.9409,60.6006,76.2670
296,55880.7070,100.0000,22.9411,255.7589,143.9975
297,40160.5312,100.0000,22.9429,286.8692,206.5481
298,-9969.4707,100.0000,22.9416,64.4657,84.4047
299,-14693.2988,100.0000,22.9409,48.8168,78.2034
300,-52602.6445,100.0000,22.9435,121.9931,227.1984
301,-30117.8125,100.0000,22.9420,230.9659,291.2015
302,786.6077,100.0000,22.9426,45.2927,43.7195
303,-14707.9502,100.0000,22.9405,90.2794,119.6953
304,6144.4814,100.0000,22.9408,77.1289,64.8399
305,589.0827,100.0000,22.9368,30.2654,29.0872
306,152.1225,100.0000,22.9382,34.6354,34.3311
307,5710.9604,100.0000,22.9404,50.0620,38.6400
308,31300.4375,100.0000,22.9412,277.0583,214.4574
309,8207.7275,100.0000,22.9422,51.6227,35.2073
310,2722.7744,100.0000,22.9400,50.3509,44.9054
311,-6133.1099,100.0000,22.9378,38.2818,50.5480
312,-21735.1074,100.0000,22.9404,304.3564,347.8266
313,5572.0366,100.0000,22.9408,76.4884,65.3443
314,-38601.2383,100.0000,22.9413,110.8343,188.0367
315,85725.6875,100.0000,22.9443,326.9428,155.4914
316,918.6401,100.0000,22.9481,78.7486,76.9113
317,-150.0950,100.0000,22.9447,35.0108,35.3110
318,-3027.4163,100.0000,22.9452,102.8744,108.9292
319,2497.0168,100.0000,22.9422,188.1685,183.1745
320,50967.2070,100.0000,22.9418,251.2783,149.3439
321,-11973.4824,100.0000,22.9412,61.9225,85.8695
322,-36323.5625,100.0000,22.9393,131.6726,204.3197
323,-13314.9834,100.0000,22.9396,90.4954,117.1254
